REGIONE;ANNO;STRUTTURA;Totale valore della produzione (A); 	   Totale costi della produzione (B);Totale proventi e oneri finanziari (C); 	   Totale rettifiche di valore di attivita' finanziarie (D);Totale proventi e oneri straordinari (E); 	   Totale imposte e tasse;RISULTATO DI ESERCIZIO
MARCHE;2002;ASL PESARO;169687;168255;-1;0;232;1989;-326
MARCHE;2002;ASL URBINO;120134;124075;-72;0;-2029;2657;-8699
MARCHE;2002;ASL FANO;173040;173385;-78;0;-1643;4104;-6170
MARCHE;2002;ASL SENIGALLIA;113194;112898;-21;0;-194;2873;-2792
MARCHE;2002;ASL JESI;152437;156093;-262;0;-436;3601;-7955
MARCHE;2002;ASL FABRIANO;71163;75369;-1;0;375;1968;-5800
MARCHE;2002;ASL ANCONA;316664;353319;-474;0;2469;4034;-38694
MARCHE;2002;ASL CIVITANOVA MARCHE;172527;170016;4;0;-644;3142;-1271
MARCHE;2002;ASL MACERATA;203504;197831;-130;0;-1614;4717;-788
MARCHE;2002;ASL CAMERINO;82558;81936;0;0;-640;2042;-2060
MARCHE;2002;ASL FERMO;204569;209769;-290;0;-374;4455;-10319
MARCHE;2002;ASL S. BENEDETTO DEL TRONTO;139537;138594;-17;0;-1363;2947;-3384
MARCHE;2002;ASL ASCOLI PICENO;176648;178888;-122;0;-1866;4375;-8603
MARCHE;2002;A.O. TORRETTE - UMBERTO I;173064;169490;-1188;0;2930;6148;-832
MARCHE;2002;A.O. OSPEDALE PEDIATRICO SALESI;38327;38574;-7;0;-123;1631;-2008
MARCHE;2002;A.O. OSPEDALE LANCISI;45155;44052;-27;0;762;1329;509
MARCHE;2002;A.O. OSPEDALE S. SALVATORE;90545;98253;-72;0;-596;3868;-12244
MARCHE;2003;ACCENTRATA REGIONALE;52174;30213;0;0;0;0;21961
MARCHE;2003;ASL PESARO;178801;174941;-12;0;-2316;1938;-406
MARCHE;2003;ASL URBINO;126091;129085;-178;0;-2884;3158;-9214
MARCHE;2003;ASL FANO;178088;176026;-11;0;-1263;4112;-3324
MARCHE;2003;ASL SENIGALLIA;115957;113763;-109;0;-760;2830;-1505
